District,District_Index,NDVI,EVI,NIR-V,CSIF,Rainfall,Tmax,Tmin,Solr_mean,Ground_Truth
faridkot 2003,31,0.6196917003419334,0.4540250233136462,0.2175200532297171,1.0155021,3.2803931000000004,34.026885986328125,25.172161102294922,249.68174743652344,3.6666666666666665
faridkot 2003,31,0.5050118433322972,0.3476625738265465,0.1542476967609574,0.8848759,1.9289447,33.321258544921875,23.16589546203613,244.57077026367188,3.6666666666666665
faridkot 2003,31,0.3619483369599005,0.2340159154491762,0.09525732167547399,0.5625865,1.6900356,33.13909912109375,20.653329849243164,259.15963745117193,3.6666666666666665
faridkot 2003,31,0.2914361516941249,0.1604259558594964,0.0593315219210444,0.26537997,0.0,32.03563690185547,18.604862213134766,234.91212463378903,3.6666666666666665
faridkot 2003,31,0.2379180603046316,0.1316869754429593,0.0478758352377991,0.13078126,0.38141257,26.57221984863281,14.245476722717285,189.4981231689453,3.6666666666666665
faridkot 2003,31,0.2225288778364936,0.1212303699098539,0.0435132347031395,0.0826832,0.40326458,21.726919174194336,9.882779121398926,174.13052368164062,3.6666666666666665
faridkot 2004,31,0.1856790246952172,0.1163164738980931,0.0435455970647077,0.06190751,1.4139576,39.814208984375,23.967792510986328,315.0434875488281,3.829545454545455
faridkot 2004,31,0.2267368240075023,0.1506052829009065,0.0588136064207564,0.104351215,1.3959919,39.17274856567383,26.06944465637207,314.5012512207031,3.829545454545455
faridkot 2004,31,0.3116432322600813,0.19116042513285397,0.0729334532510159,0.19619484,2.2331412,38.827396392822266,25.81208038330078,307.64471435546875,3.829545454545455
faridkot 2004,31,0.4416517974366989,0.31503579243513596,0.1375532843763676,0.36317155,0.58282816,36.909751892089844,25.279033660888672,288.0209045410156,3.829545454545455
faridkot 2004,31,0.6471149734291967,0.4844243201000312,0.2397016388652703,0.63089883,3.0555499,35.17483139038086,26.51733016967773,256.6268310546875,3.829545454545455
faridkot 2004,31,0.6057410440762738,0.4483450453266646,0.2160009747389809,0.89957285,4.385051,33.99599075317383,25.853525161743164,248.21127319335938,3.829545454545455
faridkot 2004,31,0.5704622381994373,0.4238377930603313,0.1997215904657705,0.93552554,2.4042215000000002,35.876060485839844,24.976747512817386,278.81576538085943,3.829545454545455
faridkot 2004,31,0.5386473272897779,0.3765748984057518,0.1696084699656143,0.8301586,0.0,34.04909896850586,23.800411224365234,242.7124481201172,3.829545454545455
faridkot 2004,31,0.4038601750547045,0.2511145670522038,0.1028828363082213,0.49136835,1.0444717,31.73147773742676,21.3782958984375,237.8326568603516,3.829545454545455
faridkot 2004,31,0.2985762738355736,0.1613590184432635,0.0596030433823069,0.2508788,0.25608173,28.09477806091309,16.565229415893555,232.99594116210938,3.829545454545455
faridkot 2004,31,0.24349737417943101,0.1346974054391997,0.0490565209502969,0.1270839,0.37271756,25.804502487182614,13.373647689819336,193.1332550048828,3.829545454545455
faridkot 2004,31,0.2211083463582369,0.1215414191934979,0.043681671341044,0.082601905,0.0021015725,25.38344383239746,14.39232063293457,160.37313842773438,3.829545454545455
faridkot 2005,31,0.1875297674418604,0.1101275348837209,0.0400506739193798,0.052586235,0.8793200000000001,40.85319137573242,26.965801239013672,312.80084228515625,3.9418604651162785
faridkot 2005,31,0.2094707906976744,0.1369478759689922,0.0525889848589147,0.08326238400000001,0.15663229,42.68266677856445,29.33957862854004,318.6266174316406,3.9418604651162785
faridkot 2005,31,0.255160465116279,0.1668547596899224,0.06391174524031,0.14292999,0.15950817,37.05690383911133,27.53383827209473,276.26480102539057,3.9418604651162785
faridkot 2005,31,0.5170962790697675,0.3759593488372093,0.17244152079999997,0.37298054,5.961591,34.42523193359375,26.52558898925781,259.460205078125,3.9418604651162785
faridkot 2005,31,0.5998570852713179,0.4556433488372093,0.2200044339534883,0.7743886,1.2414983999999998,36.60246658325195,27.58209991455078,270.29620361328125,3.9418604651162785
faridkot 2005,31,0.634636527131783,0.4783946976744186,0.2339301638945736,1.0427122,3.8826466,36.18381881713867,26.79843139648437,264.32876586914057,3.9418604651162785
faridkot 2005,31,0.6264215503875971,0.4520409612403101,0.2157372354170542,1.0419384,0.056255944,35.79452896118164,26.07670593261719,261.228271484375,3.9418604651162785
faridkot 2005,31,0.6795641240310077,0.4762074108527132,0.2297322705581395,1.008473,3.994041,33.43463897705078,23.87853240966797,237.44374084472656,3.9418604651162785
faridkot 2005,31,0.4590850542635659,0.3122783565891472,0.1391268932031007,0.75453174,0.18088503,33.936771392822266,21.90540885925293,255.87496948242188,3.9418604651162785
faridkot 2005,31,0.3480204341085271,0.1957951317829457,0.0754906616186046,0.3738572,0.1696289,30.37680435180664,17.324920654296875,238.46539306640625,3.9418604651162785
faridkot 2005,31,0.2712987286821705,0.1442782945736434,0.0523793961519379,0.14910547,0.03806382,27.587142944335934,14.91288948059082,187.80528259277344,3.9418604651162785
faridkot 2005,31,0.2577038449612402,0.1419571472868217,0.0520565971286821,0.09791870400000001,0.0060519455,24.09057426452637,12.27645492553711,167.949462890625,3.9418604651162785
faridkot 2006,31,0.1947316196965004,0.129744038401982,0.0502275264075565,0.08726853,1.510305,41.31794357299805,26.08086395263672,319.0491638183594,3.976470588235294
faridkot 2006,31,0.2057549086404459,0.1263001238773614,0.0464315708764323,0.10883901,0.0,40.75239944458008,26.23092460632324,328.5789489746094,3.976470588235294
faridkot 2006,31,0.3834581913905234,0.254936667698978,0.1060759534809538,0.19187456,0.70333,38.88223648071289,27.844696044921875,270.86471557617193,3.976470588235294
faridkot 2006,31,0.5342510684422422,0.3630762774852896,0.1623022448714772,0.45798182,6.7762094,36.69016647338867,26.643798828125,250.3672637939453,3.976470588235294
faridkot 2006,31,0.7214048621864354,0.5509543821616599,0.2853336186930938,0.88430536,4.534574,34.543445587158196,27.37890625,242.5041656494141,3.976470588235294
faridkot 2006,31,0.6762246206255808,0.5133869309383711,0.2572197204335708,1.1989763999999998,2.0130932,34.77457046508789,26.80610656738281,248.9474334716797,3.976470588235294
faridkot 2006,31,0.6370117993186746,0.5125041498916073,0.2581534896345617,1.1515361000000002,1.6034023000000002,33.640586853027344,25.30247688293457,246.04689025878903,3.976470588235294
faridkot 2006,31,0.5376691545370084,0.3949167234437907,0.1831822540167234,1.058914,2.9670787,33.695816040039055,23.06957626342773,253.5032196044922,3.976470588235294
faridkot 2006,31,0.3880013936203159,0.2572052338185197,0.1077663373397336,0.6218336999999999,1.6417836,34.31200790405273,21.905803680419922,262.4447631835937,3.976470588235294
faridkot 2006,31,0.3446770826881387,0.1913390833075255,0.0728619987271601,0.28796869999999997,0.6256581999999999,30.280521392822266,19.276290893554688,223.3079833984375,3.976470588235294
faridkot 2006,31,0.2793074326416847,0.1551836791576339,0.0579779026478786,0.18431614,0.5199476,29.32047462463379,18.376047134399414,193.3968505859375,3.976470588235294
faridkot 2006,31,0.3290829358934654,0.17080061938680702,0.0628164625240012,0.15220074,0.019459708,23.061748504638672,11.908437728881836,171.3367919921875,3.976470588235294
faridkot 2007,31,0.1721267121165169,0.106136070653858,0.0391771616021072,0.05907027,0.0,39.10911178588867,24.624908447265625,312.2958679199219,4.0344827586206895
faridkot 2007,31,0.2469255965292841,0.1562601797334986,0.05925869587542599,0.07066076,0.45408937,39.95294189453125,27.89724159240723,297.971435546875,4.0344827586206895
